source,target
1235248,13301
1107983,5554979
11472,1776
19742,5413773
110380,73988
1044195,1736
156702,3173
17643,3084
28413,3087
1271126,3
13301,16303
4854363,8655
1245,163768
1348591,226001
1331,9443
1019,1188827
3087,99724
227342,8655
1245,1649152
14320,6932
2068548,226366
18471,21657
176969,8655
1407495,1720796
1230291,39545
1407495,2472695
1331,61907
12052,1245
1245,53650
2259923,74611
1245,52462
101251,1102260
1245,1642047
109803,13301
13301,20156
1183700,1331
1418901,74611
18471,2104697
556033,89289
923,9893
1306541,2778
2510107,97823
1245,58860
1217576,226366
18471,2632
3084,4110
19742,2291285
3084,3380
1331,941439
1245,84249
18471,25147
13301,3823084
3418,9893
236598,65717
19742,5413705
1348591,3006309
3,8664
3,5
1739,84878
1739,4942
181934,89289
226366,928698
5313723,65717
2975,571562
43461,8655
18471,1892
1505363,1736
15557,52057
2025043,97823
1503035,3087
2975,9376
3,658
115406,210773
206398,226366
31533,8655
3,3432156
2778,37469
118372,2000899
571562,86314
1160,1245
1265805,74611
1331,2832872
10205,8349
12214,13445
53684,89289
129437,52057
13301,72665
1310502,18471
15189,3
1245,2011373
4238,6384
160621,3087
1331,3128299
1215473,334719
19742,2291240
18471,77100
13301,4266356
13263,3173
4854329,8655
10743,1245
41214,8349
1331,1533328
39545,5020899
3131,65717
19742,2291223
174914,52057
226366,2507551
110380,1262093
104504,3087
1331,41784
1739,75006
3087,3095
1046359,65717
1407498,78798
1245,177765
2101507,8655
3,7907
1331,1709869
226366,2462879
1736,2536
1245,39459
1348591,3704035
505710,74611
1219573,8349
116315,571562
2396830,74611
52057,552527
14639,1776
15175,8349
1723196,89289
2319,884
168400,8349
1292159,97823
171005,3173
21105,97823
107515,2716478
107322,1519730
2334696,52057
110411,9380
107515,53937
118372,3112229
1035,7202
1616338,1736
10374,884
145073,2229652
1723911,78576
1204189,2975
1348591,2252708
3961524,97823
1524033,18471
1060492,110380
1082381,89289
1245,17292
1107983,1780320
154615,1736
1245,17489
132621,97823
1245,62831
18471,42290
1280998,52057
2090,3084
10767,1776
349,568297
122889,1736
226366,350
51551,65717
7082,9893
107515,6972
7202,73963
1348591,1855060
14523,31309
2101512,8655
1331,4764442
1240816,19051
17306,58873
1736,22383
132257,13301
1245,1475235
2101526,8655
1407495,4625505
107515,162339
1209253,2975
1038939,1245
1107983,2939212
4301592,74611
1177838,216140
107322,3950929
1407498,32600
162432,3
3,7202
1245,4784
1271106,3
1084730,7202
1736,3402563
3,79957
1736,2705767
2778,45001
32804,7202
110380,146687
24625,3
1230439,3
3387075,8350
107322,3950925
2342448,2975
4854304,8655
52057,587018
2495753,3087
16327,23548
1140092,1331
151463,80874
1331,2082772
1348591,66896
14320,6678
13301,1599975
13301,26265
20752,3087
1107983,5554572
1101349,1407495
13301,2264381
1245,9048
226366,2596994
1072046,1736
107322,1327240
1331,67126
1107983,1231277
1245,155792
108917,1245
1245,193141
1056121,1245
18471,4344205
71727,74611
1245,2053053
2750,2778
1233541,3087
1353289,571562
1736,2614684
7080,9893
1348591,5837131
107515,2737177
15852,52605
63522,74611
5313736,65717
1331,2082714
2282,8349
120826,1245
110380,5287081
